measurement_date	invoice_status	agency	aging_bucket	sum_of_trips	sum_of_dollars
2015-12-25	Manual Tracking	TL1	180-365	2	676.96
2015-12-31	Hold-NEMHS	WC1	90-180	20	1331.2
2015-12-23	Hold-NEMHS	PB1	60-90	5	365
2015-12-06	Write off	LOG	30-60	2	36.5
2016-01-17	Hold-NEMHS	ND2	365+	2	90
2015-12-26	Billed	LOG	30-60	43	1026.88
2016-01-08	Hold-NEMHS	WC1	90-180	18	1126.2
2016-01-14	Hold-NEMHS	VA1	180-365	26	2909.11
2015-12-18	Billed	LOG	30-60	53	1619.27
2016-01-08	Manual Tracking	MP1	365+	6	382
2015-11-25	Hold-NEMHS	MID	180-365	4	87.67
2016-01-04	Hold-NEMHS	WS3	0-30	2	562.5
2015-12-08	Hold-NEMHS	SG2	90-180	3	135
2015-12-03	Hold-NEMHS	CDS	30-60	135	3065.15
2015-12-31	Hold-NEMHS	CDS	60-90	138	3129.85
2015-12-09	Hold-NEMHS	PB1	60-90	25	2029
2016-01-05	Hold-NEMHS	CDR	30-60	799	24327.25
2015-12-11	Write off	PVT	90-180	7	710.55
2016-01-03	Hold-NEMHS	HL1	0-30	17	1699.75
2015-12-16	Write off	SR3	90-180	2	130
2015-11-26	Hold-NEMHS	MP1	0-30	57	3853
2016-01-05	Hold-NEMHS	MRC	0-30	3	202
2015-12-07	Hold-NEMHS	MR4	60-90	14	347.2
2015-12-01	Rebill	LOG	90-180	2	65
2015-12-31	Hold-NEMHS	HL1	180-365	1	57
2016-01-12	Hold-NEMHS	MR4	0-30	4	456
2015-12-17	Hold-NEMHS	CR5	365+	2	102
2015-12-10	Hold-NEMHS	PB1	0-30	20	1794
2016-01-07	Hold-NEMHS	HE6	0-30	2	214
2015-12-03	Manual Tracking	LOG	90-180	277	5472.31
2016-01-04	Manual Tracking	MP1	180-365	20	1148
2015-12-15	Hold-NEMHS	CDR	180-365	3	142.5
2015-12-01	Write off	PVT	180-365	33	2065.3
2016-01-12	Hold-NEMHS	MP1	30-60	44	2440.4
2015-12-12	Manual Tracking	MP1	365+	4	284
2016-01-15	Hold-NEMHS	TG2	180-365	1	41
2016-01-15	Write off	FAC	365+	11	591
2016-01-17	Manual Tracking	MP1	90-180	3	163
2015-12-16	Hold-NEMHS	HE6	0-30	5	456
2015-12-16	Hold-NEMHS	FE4	90-180	2	234
2015-12-23	Hold-NEMHS	MP1	0-30	78	4375.45
2015-12-13	Hold-NEMHS	TG2	180-365	1	41
2016-01-05	Billed	MP1	180-365	35	2751
2015-12-30	Write off	BR7	365+	1	49
2016-01-13	Manual Tracking	PVT	60-90	1	45
2016-01-01	Write off	PVT	90-180	9	756.55
2015-12-30	Billed	MP1	180-365	37	2865
2016-01-08	Hold-NEMHS	TL1	180-365	10	1376.08
2015-12-19	Hold-NEMHS	HE6	180-365	2	210
2015-12-21	Write off	LOG	30-60	2	36.5
2015-12-23	Hold-NEMHS	BR7	365+	2	114
2016-01-13	Manual Tracking	LOG	60-90	30	691.73
2015-12-03	Write off	SE2	365+	2	98
2015-12-18	Hold-NEMHS	NB1	30-60	4	532
2016-01-14	Hold-NEMHS	WC1	0-30	6	388.5
2015-12-05	Hold-NEMHS	CDR	0-30	788	24034.5
2015-12-01	Write off	BR7	30-60	8	424
2015-12-01	Write off	LOG	180-365	253	5070.92
2015-11-29	Hold-NEMHS	OH2	180-365	1	77
2015-12-17	Manual Tracking	MP1	30-60	1	73
2015-12-20	Hold-NEMHS	LOG	365+	5	43.25
2016-01-13	Hold-NEMHS	CR5	365+	2	102
2015-12-28	Write off	LOG	180-365	257	5162.42
2015-12-29	Hold-NEMHS	WS3	0-30	2	562.5
2015-12-03	Hold-NEMHS	MRC	90-180	4	329.85
2016-01-08	Rebill	LOG	365+	9	214.53
2016-01-15	Hold-NEMHS	MID	60-90	1	53
2015-11-23	Hold-NEMHS	WC1	30-60	4	306
2015-12-16	Manual Tracking	LOG	365+	34	788.53
2015-12-04	Hold-NEMHS	LOG	0-30	56	1113.27
2016-01-06	Hold-NEMHS	MR4	0-30	4	483.25
2015-12-15	Hold-NEMHS	CR5	180-365	6	310
2015-12-26	Hold-NEMHS	ND2	180-365	19	1315
2015-11-24	Billed	PB1	180-365	1	61
2015-12-16	Hold-NEMHS	PB1	0-30	8	688
2015-12-17	Rebill	PVT	180-365	3	151
2015-12-04	Write off	PVT	0-30	19	1707.4
2016-01-04	Hold-NEMHS	BR3	30-60	2	122
2015-12-08	Write off	MID	90-180	65	2399.01
2015-12-24	Hold-NEMHS	HL1	180-365	1	57
2016-01-01	Rebill	LOG	180-365	27	640.46
2015-12-17	Billed	VA1	180-365	1	83.5
2015-12-19	Hold-NEMHS	MR4	180-365	13	833
2016-01-07	Hold-NEMHS	MP1	60-90	3	163
2016-01-06	Hold-NEMHS	CR5	180-365	4	220
2015-12-13	Hold-NEMHS	MR4	180-365	27	1340.6
2015-12-06	Hold-NEMHS	TL1	180-365	12	2124.26
2016-01-13	Hold-NEMHS	MP1	60-90	3	163
2016-01-12	Hold-NEMHS	CR5	180-365	4	220
2016-01-01	Hold-NEMHS	SR3	60-90	26	1650
2015-12-26	Hold-NEMHS	SR3	60-90	34	2162
2015-12-19	Hold-NEMHS	KE3	30-60	6	525.6
2015-12-10	Hold-NEMHS	CR5	180-365	6	310
2016-01-11	Hold-NEMHS	LR5	180-365	1	41
2015-12-08	Hold-NEMHS	HE6	180-365	2	210
2015-12-14	Hold-NEMHS	HE6	180-365	2	210
2015-11-26	Hold-NEMHS	LOG	180-365	926	20097.27
2015-12-02	Hold-NEMHS	LOG	180-365	1421	30557.56
2016-01-11	Hold-NEMHS	LOG	365+	11	311.82
2015-12-08	Write off	BR7	30-60	6	318
2016-01-08	Write off	BR7	90-180	2	106
2016-01-15	Hold-NEMHS	TL1	180-365	10	1376.08
2016-01-17	Hold-NEMHS	LOG	365+	1	0
2015-11-23	Hold-NEMHS	FA1	180-365	1	61
2016-01-06	Billed	MP1	365+	10	1314
2015-12-26	Manual Tracking	LOG	30-60	68	1477.91
2015-11-29	Hold-NEMHS	FA1	180-365	1	61
2015-11-23	Manual Tracking	LOG	30-60	157	2645.91
2015-11-30	Hold-NEMHS	PVT	180-365	931	68729
2016-01-07	Hold-NEMHS	CR5	365+	2	102
2015-12-12	Manual Tracking	PN1	30-60	1	25.67
2015-11-29	Hold-NEMHS	TL1	60-90	3	580.28
2015-12-08	Hold-NEMHS	PVT	180-365	973	70433.11
2015-12-30	Hold-NEMHS	CR5	365+	2	102
2015-12-24	Hold-NEMHS	CDR	30-60	871	26560
2015-12-27	Hold-NEMHS	PVT	90-180	614	42238.3
2016-01-11	Hold-NEMHS	LE2	90-180	1	11.85
2015-12-07	Hold-NEMHS	LOG	60-90	143	2883.6
2016-01-12	Write off	LR5	180-365	2	82
2016-01-02	Hold-NEMHS	TG2	180-365	1	41
2015-12-22	Rebill	PVT	180-365	2	110
2015-12-10	Hold-NEMHS	CDR	180-365	3	142.5
2015-12-07	Hold-NEMHS	TL1	60-90	6	1337.66
2015-12-30	Write off	LOG	365+	4	131.5
2015-11-28	Write off	PVT	90-180	5	543.85
2015-11-26	Hold-NEMHS	BR3	0-30	4	332
2016-01-07	Hold-NEMHS	HL1	180-365	1	57
2016-01-12	Hold-NEMHS	HE6	0-30	2	202
2015-12-18	Manual Tracking	MP1	365+	4	284
2016-01-01	Billed	MP1	365+	6	990
2015-12-04	Rebill	LOG	180-365	30	719.76
2015-12-10	Hold-NEMHS	HE6	0-30	5	467
2015-11-30	Hold-NEMHS	KE3	180-365	89	7121
2016-01-04	Hold-NEMHS	CDR	180-365	3	142.5
2015-12-24	Billed	MP1	180-365	37	2865
2015-12-03	Write off	PVT	365+	72	3545.65
2015-12-18	Hold-NEMHS	ND2	0-30	16	726
2015-11-26	Hold-NEMHS	MR4	90-180	9	488.8
2015-12-02	Hold-NEMHS	SS1	90-180	6	414
2016-01-12	Hold-NEMHS	CDR	180-365	3	142.5
2015-12-03	Hold-NEMHS	CDR	0-30	776	22188.5
2015-12-15	Hold-NEMHS	SK2	180-365	2	266
2015-12-26	Hold-NEMHS	SY4	30-60	2	114
2015-11-30	Write off	VA1	365+	1	15.55
2015-12-04	Manual Tracking	PN1	30-60	1	25.67
2015-12-07	Write off	BR7	30-60	6	318
2015-12-23	Hold-NEMHS	SK2	180-365	2	266
2015-12-24	Billed	LOG	90-180	1571	32621.44
2015-12-27	Hold-NEMHS	BR7	180-365	18	836.8
2016-01-16	Hold-NEMHS	HL1	0-30	1	81
2015-11-25	Hold-NEMHS	PB1	60-90	15	1275
2015-12-02	Hold-NEMHS	SE2	30-60	66	3594
2015-12-09	Hold-NEMHS	MR4	90-180	8	464
2016-01-04	Hold-NEMHS	LE2	90-180	1	11.85
2016-01-08	Hold-NEMHS	SY4	30-60	4	220
2016-01-14	Hold-NEMHS	LOG	30-60	53	1115.37
2016-01-10	Hold-NEMHS	LR5	180-365	1	41
2015-12-23	Hold-NEMHS	SE2	30-60	39	2023
2015-12-10	Hold-NEMHS	SS1	90-180	6	414
2015-12-07	Write off	LOG	30-60	2	36.5
2015-12-06	Hold-NEMHS	SY4	30-60	11	583
2015-12-06	Hold-NEMHS	SR3	90-180	5	309
2015-12-18	Hold-NEMHS	SY4	30-60	4	228
2016-01-12	Manual Tracking	PVT	60-90	1	45
2015-12-25	Hold-NEMHS	HL1	180-365	1	57
2016-01-10	Write off	VA1	365+	1	15.55
2015-12-10	Hold-NEMHS	SE2	30-60	28	1485
2015-12-01	Hold-NEMHS	MP1	0-30	57	3885.5
2015-12-04	Billed	LOG	30-60	5391	120931.09
2015-12-11	Manual Tracking	LOG	180-365	359	7713.62
2016-01-08	Manual Tracking	TL1	180-365	2	676.96
2016-01-15	Hold-NEMHS	PVT	60-90	164	9657.15
2015-11-24	Billed	LOG	365+	29	101.5
2015-12-20	Hold-NEMHS	SK2	30-60	4	204
2015-12-09	Hold-NEMHS	PVT	30-60	233	15289.45
2015-12-15	Hold-NEMHS	PVT	30-60	230	15030.45
2016-01-12	Write off	LOG	365+	4	131.5
2015-12-03	Hold-NEMHS	ML6	180-365	1	109
2015-11-27	Hold-NEMHS	ML6	180-365	1	109
2015-12-31	Write off	PVT	90-180	9	756.55
2015-12-20	Write off	LOG	30-60	2	36.5
2015-12-10	Write off	BR7	60-90	2	106
2016-01-07	Hold-NEMHS	MRC	180-365	24	1569.7
2015-12-12	Billed	LOG	30-60	3576	79520.55
2015-12-31	Write off	MR4	0-30	2	418
2016-01-17	Hold-NEMHS	MP1	30-60	66	3636.05
2015-12-02	Write off	TL1	365+	1	15.55
2015-12-01	Hold-NEMHS	PB1	60-90	21	1737
2016-01-13	Hold-NEMHS	CDR	30-60	823	24937
2015-12-26	Hold-NEMHS	SG2	60-90	2	234
2015-12-29	Hold-NEMHS	LE2	90-180	1	11.85
2015-12-18	Write off	PVT	0-30	18	1562.9
2016-01-14	Hold-NEMHS	ND2	30-60	14	638
2015-12-17	Write off	SE2	365+	2	98
2015-11-30	Hold-NEMHS	SG2	90-180	2	90
2015-12-05	F	LOG	60-90	4	372
2015-12-07	Hold-NEMHS	WC1	30-60	2	163
2015-12-11	Billed	MP1	60-90	2	106
2015-12-21	Hold-NEMHS	TG2	180-365	1	41
2015-12-02	Hold-NEMHS	PB1	0-30	20	1794
2016-01-06	Hold-NEMHS	BR3	30-60	2	122
2015-12-30	Hold-NEMHS	HE6	0-30	4	479
2015-12-01	Hold-NEMHS	PVT	30-60	212	15371.94
2016-01-03	Hold-NEMHS	LR5	180-365	1	41
2015-11-29	Hold-NEMHS	MR4	60-90	14	347.2
2016-01-04	Hold-NEMHS	MR4	0-30	4	483.25
2016-01-11	Write off	LOG	180-365	275	5552.65
2015-12-06	Hold-NEMHS	LOG	0-30	440	1093.55
2015-12-28	Hold-NEMHS	SR1	60-90	2	114
2016-01-05	Manual Tracking	PVT	60-90	1	45
2015-12-15	Hold-NEMHS	MP1	0-30	46	2486.2
2015-12-01	Write off	TL1	180-365	2	160.84
2016-01-13	Billed	LOG	90-180	1651	34923.94
2015-12-24	Rebill	LOG	180-365	29	673.96
2015-12-17	Hold-NEMHS	HL1	180-365	1	57
2015-12-23	Hold-NEMHS	CDR	180-365	3	142.5
2016-01-04	Hold-NEMHS	MP1	30-60	24	1327.5
2015-12-15	Write off	PVT	180-365	19	1413.55
2015-11-23	Billed	PVT	180-365	1	133
2015-11-26	Hold-NEMHS	SS1	90-180	6	414
2015-12-02	Hold-NEMHS	MR4	90-180	8	464
2015-12-04	Hold-NEMHS	SR3	90-180	5	309
2015-12-15	Write off	LOG	180-365	256	5105.42
2016-01-13	Billed	MP1	180-365	20	1588
2016-01-01	Hold-NEMHS	SY4	30-60	4	220
2015-11-27	Hold-NEMHS	CDR	0-30	846	25520
2015-11-28	Hold-NEMHS	SR3	90-180	3	195
2016-01-16	Hold-NEMHS	PVT	90-180	463	29565.09
2015-11-23	Billed	LOG	180-365	268	5222.74
2015-12-17	Hold-NEMHS	CDR	30-60	851	25620
2016-01-05	Manual Tracking	LOG	60-90	49	971.22
2016-01-07	Manual Tracking	LOG	90-180	130	1990.73
2016-01-12	Write off	MID	90-180	5	175.06
2015-12-11	Hold-NEMHS	CDS	30-60	151	3249.25
2015-12-28	Hold-NEMHS	SY4	60-90	4	228
2016-01-03	Hold-NEMHS	SY4	60-90	2	114
2016-01-14	Write off	PVT	0-30	21	1753
2016-01-17	F	LOG	90-180	7	564.4
2015-11-23	Hold-NEMHS	TL1	60-90	3	580.28
2015-11-24	Hold-NEMHS	PVT	180-365	904	68208.1
2015-12-09	Manual Tracking	LE2	0-30	1	0
2015-12-08	Write off	TL1	365+	1	15.55
2015-12-24	Write off	PVT	0-30	18	1562.9
2015-11-24	Write off	BR7	30-60	6	318
2015-12-17	Billed	MP1	60-90	7	375
2016-01-05	Hold-NEMHS	CR5	365+	2	102
2015-12-24	Hold-NEMHS	CR5	365+	2	102
2015-11-26	Hold-NEMHS	PB1	0-30	19	1699.5
2016-01-05	Hold-NEMHS	HE6	0-30	2	214
2016-01-12	Hold-NEMHS	BR3	30-60	2	122
2016-01-13	Write off	SE2	365+	2	98
2015-12-24	Hold-NEMHS	HE6	0-30	4	479
2015-12-28	Hold-NEMHS	LR5	180-365	1	41
2015-12-27	Hold-NEMHS	TG2	180-365	1	41
2015-11-23	Hold-NEMHS	MR4	60-90	10	304.4
2015-12-17	Hold-NEMHS	CDS	60-90	108	2709.35
2015-12-23	Hold-NEMHS	CR5	180-365	7	367
2016-01-04	Hold-NEMHS	CR5	180-365	4	220
2015-12-11	Write off	BR7	365+	1	49
2015-12-12	Hold-NEMHS	LOG	0-30	482	1153.55
2015-12-29	Hold-NEMHS	MR4	0-30	4	483.25
2015-12-31	Hold-NEMHS	SR3	90-180	4	212
2015-12-22	Hold-NEMHS	SR1	60-90	2	114
2016-01-15	Hold-NEMHS	SR3	60-90	8	448
2016-01-17	Write off	LOG	180-365	2128	44125.88
2015-12-09	Rebill	PVT	180-365	3	151
2016-01-04	Manual Tracking	LOG	365+	36	806.78
2015-12-03	Rebill	PVT	180-365	3	151
2015-12-29	Manual Tracking	LOG	365+	35	806.78
2015-12-09	Write off	SR3	180-365	10	642
2016-01-16	Billed	LOG	180-365	1	13
2015-12-25	Billed	VA1	180-365	1	83.5
2016-01-09	Hold-NEMHS	ND2	180-365	12	596
2015-11-24	Write off	PVT	180-365	47	2614.35
2015-12-19	Hold-NEMHS	FA1	180-365	1	61
2015-12-07	Hold-NEMHS	FA1	180-365	1	61
2015-12-13	Hold-NEMHS	FA1	180-365	1	61
2015-12-28	Write off	SG2	60-90	2	82
2016-01-08	Billed	MP1	365+	10	1314
2016-01-14	Billed	MP1	365+	14	1638
2015-12-01	Hold-NEMHS	KE3	365+	7	783
2015-12-26	Hold-NEMHS	TL1	180-365	12	1496.82
2015-12-28	Hold-NEMHS	LOG	365+	6	56.25
2016-01-01	Hold-NEMHS	TL1	180-365	10	1376.08
2015-12-22	Hold-NEMHS	LOG	365+	6	56.25
2016-01-03	Hold-NEMHS	LOG	365+	6	56.25
2015-12-21	Write off	BR7	30-60	2	106
2015-12-24	Hold-NEMHS	MP1	0-30	86	4803.95
2015-12-24	Hold-NEMHS	SS1	90-180	4	276
2015-12-16	Hold-NEMHS	SS1	90-180	4	276
2015-11-29	Hold-NEMHS	LOG	90-180	1268	27217.6
2015-12-07	Write off	MID	60-90	3	120.26
2016-01-08	Hold-NEMHS	PB1	365+	1	161
2015-12-07	Hold-NEMHS	LOG	90-180	759	16205.74
2015-12-11	Hold-NEMHS	PB1	0-30	20	1794
2015-12-22	Hold-NEMHS	LR5	180-365	1	41
2016-01-14	Hold-NEMHS	MRC	0-30	4	276
2015-12-16	Hold-NEMHS	MP1	0-30	50	2798.95
2015-12-14	Hold-NEMHS	LR5	180-365	1	41
2015-12-29	Hold-NEMHS	HE6	0-30	4	479
2015-11-29	Hold-NEMHS	TL1	90-180	32	5179.34
2016-01-06	Hold-NEMHS	HE6	0-30	2	214
2015-12-01	Hold-NEMHS	SR3	30-60	36	2276
2015-12-12	Write off	PVT	90-180	7	710.55
2015-11-24	Hold-NEMHS	KE3	180-365	80	6364
2015-12-09	Hold-NEMHS	SR3	30-60	20	1180
2016-01-07	Write off	BR7	90-180	2	106
2015-12-15	Manual Tracking	MP1	180-365	6	358
2015-12-01	Hold-NEMHS	SK2	180-365	2	266
2016-01-13	Write off	TL1	365+	1	15.55
2015-12-03	Write off	TL1	365+	1	15.55
2016-01-08	Hold-NEMHS	CDR	30-60	847	25801.25
2016-01-17	Hold-NEMHS	CDR	90-180	442	13893
2015-12-09	Hold-NEMHS	SK2	180-365	2	266
2015-12-13	Hold-NEMHS	BR7	180-365	19	901.8
2015-12-04	Hold-NEMHS	ND2	0-30	24	1163.75
2016-01-02	Hold-NEMHS	HL1	0-30	17	1699.75
2015-12-31	Hold-NEMHS	CDR	30-60	769	23496.5
2016-01-09	Manual Tracking	MP1	365+	6	382
2016-01-14	Hold-NEMHS	MID	60-90	1	53
2015-12-21	Hold-NEMHS	BR7	180-365	17	787.8
2016-01-13	Write off	LOG	365+	50	1258.6
2015-12-26	Hold-NEMHS	SR3	90-180	6	342
2016-01-03	Hold-NEMHS	MP1	30-60	22	1173.5
2015-12-23	Write off	SE2	365+	2	98
2015-11-30	Rebill	LOG	90-180	4	91
2015-12-12	Hold-NEMHS	SG2	60-90	14	1124
2015-12-18	Hold-NEMHS	SR3	90-180	6	342
2015-12-21	Hold-NEMHS	TL1	0-30	7	65.24
2015-11-25	Hold-NEMHS	PVT	30-60	228	16185.79
2016-01-11	Hold-NEMHS	SR1	90-180	6	342
2015-12-11	Hold-NEMHS	ND2	180-365	19	1315
2015-11-25	Write off	PVT	30-60	2	194
2015-12-07	Hold-NEMHS	TL1	90-180	25	4226.78
2015-12-13	Hold-NEMHS	TL1	0-30	2	65.24
2015-12-03	Hold-NEMHS	ND2	180-365	19	1315
2015-12-26	Rebill	LOG	365+	7	181.03
2016-01-03	Hold-NEMHS	SR1	90-180	6	342
2015-11-23	Manual Tracking	PN1	0-30	1	25.67
2015-12-10	Manual Tracking	PVT	90-180	9	431.25
2015-12-22	Hold-NEMHS	SK2	30-60	4	204
2015-11-28	Billed	LOG	30-60	4591	103285.14
2016-01-03	Rebill	LOG	365+	9	214.53
2016-01-14	Write off	MR4	0-30	2	418
2016-01-14	Hold-NEMHS	CR5	365+	2	102
2015-12-16	Billed	LOG	60-90	117	3149.4
2015-12-03	Manual Tracking	MP1	60-90	3	179
2015-12-22	Billed	LOG	60-90	122	3436.84
2016-01-05	Write off	PVT	30-60	20	1740.9
2016-01-11	Hold-NEMHS	MP1	30-60	41	2355.7
2015-12-30	Billed	LOG	60-90	110	3256.43
2015-12-24	Billed	LOG	60-90	120	3346.9
2015-12-26	Write off	LOG	30-60	2	36.5
2015-11-26	Hold-NEMHS	MRC	60-90	1	101
2015-12-30	Write off	LOG	0-30	1	38.1
2015-12-14	Hold-NEMHS	LOG	365+	5	43.25
2015-12-28	Hold-NEMHS	MP1	30-60	5	253
2015-12-14	Hold-NEMHS	MR4	180-365	27	1340.6
2015-12-25	Hold-NEMHS	ND2	180-365	19	1315
2015-12-12	Hold-NEMHS	SR3	90-180	6	342
2015-12-27	Hold-NEMHS	FA1	180-365	1	61
2015-12-18	Hold-NEMHS	SG2	60-90	4	468
2016-01-16	Hold-NEMHS	LOG	365+	1	0
2015-12-02	Hold-NEMHS	SK2	0-30	4	215.5
2015-12-23	Write off	SR3	180-365	14	902
2015-12-24	Hold-NEMHS	SE2	30-60	43	2235
2015-12-19	Hold-NEMHS	TL1	0-30	7	65.24
2015-12-23	Rebill	PVT	180-365	2	110
2015-12-02	Write off	MID	90-180	65	2399.01
2015-12-10	Write off	PVT	0-30	19	1707.4
2016-01-07	Rebill	LOG	180-365	27	640.46
2015-12-25	Hold-NEMHS	MRC	90-180	4	329.85
2015-12-27	Hold-NEMHS	LOG	0-30	229	1072.6
2015-12-28	Hold-NEMHS	SR1	90-180	4	228
2015-11-23	Hold-NEMHS	TL1	90-180	32	5179.34
2015-12-17	Write off	TL1	365+	1	15.55
2016-01-07	Billed	MP1	365+	10	1314
2015-12-08	Hold-NEMHS	TL1	60-90	6	1337.66
2016-01-02	Hold-NEMHS	SE2	90-180	16	758
2015-12-29	Manual Tracking	MP1	180-365	19	1091
2015-12-29	Write off	MID	90-180	58	2278.05
2016-01-03	Hold-NEMHS	CDR	90-180	563	13715
2015-11-25	Hold-NEMHS	SK2	180-365	2	266
2015-11-30	Hold-NEMHS	MRC	30-60	11	786.4
2015-12-15	Write off	TL1	180-365	2	160.84
2015-12-03	Hold-NEMHS	SR1	30-60	13	533
2015-11-23	Billed	TL1	180-365	3	408.24
2015-12-09	Billed	MP1	30-60	22	1078
2015-12-09	Write off	SE2	365+	2	98
2015-12-25	Hold-NEMHS	CDR	30-60	914	27903.75
2015-12-23	Hold-NEMHS	MP1	180-365	63	4675
2016-01-09	Hold-NEMHS	SY4	30-60	4	220
2015-12-25	Hold-NEMHS	CDS	60-90	122	2963.55
2015-12-22	Hold-NEMHS	SR5	180-365	4	212
2015-11-23	Hold-NEMHS	LOG	90-180	1453	31734.73
2015-12-21	Hold-NEMHS	FA1	180-365	1	61
2015-12-23	Hold-NEMHS	MRC	60-90	4	440
2015-12-28	Hold-NEMHS	BR7	365+	2	114
2016-01-10	Hold-NEMHS	LOG	365+	10	303.32
2015-12-17	Hold-NEMHS	PB1	0-30	24	1852.5
2015-11-26	Hold-NEMHS	SK2	0-30	4	215.5
2015-12-02	Hold-NEMHS	MP1	0-30	58	3961.5
2015-12-05	Hold-NEMHS	PB1	0-30	20	1794
2015-12-20	Hold-NEMHS	LR5	180-365	1	41
2016-01-11	Hold-NEMHS	FE4	180-365	5	485
2016-01-16	Hold-NEMHS	TG2	180-365	1	41
2015-12-31	Hold-NEMHS	MRC	90-180	4	329.85
2016-01-09	Hold-NEMHS	ML6	180-365	1	109
2015-12-12	Hold-NEMHS	TL1	180-365	12	2073.66
2015-12-18	Hold-NEMHS	TL1	180-365	12	2073.66
2015-11-28	Manual Tracking	MP1	0-30	1	73
2015-12-20	F	LOG	60-90	4	324
2015-12-21	Hold-NEMHS	VA1	90-180	6	361.08
2015-12-13	Hold-NEMHS	KE3	30-60	6	614
2015-12-20	Hold-NEMHS	HE6	180-365	2	210
2015-12-05	F	LOG	90-180	6	406.84
2016-01-12	Manual Tracking	LOG	365+	36	806.78
2015-12-03	Hold-NEMHS	PR1	180-365	5	365
2015-12-27	Hold-NEMHS	VA1	90-180	6	361.08
2015-11-27	Hold-NEMHS	PR1	180-365	5	365
2015-12-02	Write off	BR7	30-60	8	424
2015-12-05	Rebill	LOG	180-365	30	719.76
2015-12-15	Hold-NEMHS	KE3	365+	7	783
2016-01-16	Hold-NEMHS	MR4	180-365	10	678
2016-01-09	Hold-NEMHS	TL1	180-365	10	1376.08
2015-11-28	Hold-NEMHS	MRC	90-180	3	228.85
2016-01-10	Hold-NEMHS	MR4	180-365	13	833
2015-12-28	Hold-NEMHS	WS3	0-30	2	562.5
2016-01-03	Hold-NEMHS	WS3	0-30	2	562.5
2015-11-26	Hold-NEMHS	WC1	90-180	8	509.2
2015-12-15	Hold-NEMHS	SK2	0-30	4	204
2016-01-01	Hold-NEMHS	SR3	90-180	10	602
2016-01-02	Rebill	LOG	180-365	27	640.46
2016-01-08	Manual Tracking	LOG	90-180	131	2018.05
2016-01-15	Hold-NEMHS	PB1	30-60	12	802
2015-12-20	Hold-NEMHS	SR5	180-365	4	212
2015-12-06	Hold-NEMHS	SG2	60-90	17	1497
2016-01-17	Hold-NEMHS	CDS	0-30	210	3700.2
2016-01-17	Billed	WC1	60-90	1	57
2015-12-25	Rebill	LOG	180-365	29	673.96
2015-12-22	Hold-NEMHS	BR7	365+	2	114
2015-12-23	Hold-NEMHS	SR3	30-60	15	831
2015-12-01	Manual Tracking	MP1	180-365	6	358
2016-01-02	Hold-NEMHS	PB1	180-365	13	1757
2015-12-16	Manual Tracking	KE3	60-90	1	69
2015-12-30	Write off	TL1	365+	1	15.55
2015-12-20	Rebill	LOG	365+	6	135.23
2015-12-08	Manual Tracking	LE2	0-30	1	0
2016-01-16	Hold-NEMHS	BR3	90-180	6	510
2016-01-09	Hold-NEMHS	SR3	90-180	14	718
2016-01-14	Write off	SE2	365+	2	98
2016-01-10	Hold-NEMHS	TG2	180-365	1	41
2015-12-02	Hold-NEMHS	HE6	0-30	5	399
2016-01-04	Billed	LOG	60-90	86	2676.68
2016-01-13	Hold-NEMHS	SS1	365+	2	130
2015-12-26	Hold-NEMHS	ND2	0-30	10	480
2015-12-27	Hold-NEMHS	SE2	90-180	14	758
2015-12-11	Write off	SR3	90-180	2	130
2015-12-09	Hold-NEMHS	MP1	180-365	75	5359
2015-12-08	Hold-NEMHS	KE3	180-365	99	7795
2015-12-27	Hold-NEMHS	LOG	365+	6	56.25
2015-12-19	Hold-NEMHS	BR7	180-365	17	787.8
2015-11-28	Hold-NEMHS	SG2	60-90	16	1308
2015-12-19	Hold-NEMHS	LOG	365+	5	43.25
2016-01-12	Hold-NEMHS	SY4	90-180	14	798
2016-01-02	F	LOG	60-90	1	69
2016-01-09	Billed	MP1	365+	10	1314
2016-01-15	Hold-NEMHS	PVT	0-30	287	18081.37
2015-11-26	Hold-NEMHS	HE6	90-180	2	210
2015-12-14	Hold-NEMHS	SR1	90-180	10	514
2016-01-13	Billed	LOG	60-90	45	1461.64
2015-12-04	Write off	SR3	180-365	8	512
2016-01-08	Hold-NEMHS	ND2	180-365	12	596
2015-12-22	Hold-NEMHS	MP1	30-60	3	163
2015-11-29	Hold-NEMHS	BR7	180-365	19	972.4
2015-12-14	Hold-NEMHS	MP1	30-60	6	370
2015-12-01	Hold-NEMHS	MR4	90-180	8	464
2016-01-13	Write off	LR5	180-365	2	82
2016-01-02	Hold-NEMHS	LR5	180-365	1	41
2015-12-31	Hold-NEMHS	ND2	180-365	21	1405
2015-12-15	Hold-NEMHS	HE6	0-30	5	467
2016-01-17	Hold-NEMHS	MR4	365+	3	179
2015-12-05	Hold-NEMHS	SR1	30-60	5	205
2015-12-31	Hold-NEMHS	CR5	365+	2	102
2015-12-20	Hold-NEMHS	BR7	0-30	2	103.5
2016-01-04	Hold-NEMHS	HE6	0-30	2	214
2016-01-07	Hold-NEMHS	SS1	90-180	2	138
2015-12-23	Hold-NEMHS	HE6	0-30	7	670
2015-12-22	Hold-NEMHS	SR1	90-180	6	350
2015-12-23	Hold-NEMHS	PVT	30-60	219	15201.95
2016-01-09	Rebill	LOG	365+	9	214.53
2016-01-08	Hold-NEMHS	CR5	365+	2	102
2015-11-23	Hold-NEMHS	RR6	180-365	1	85
