measurement_date	invoice_status	agency	aging_bucket	sum_of_trips	sum_of_dollars
2015-11-26	Hold-NEMHS	BR7	90-180	4	125.4
2015-12-09	Hold-NEMHS	LOG	90-180	757	16306.44
2015-12-04	Hold-NEMHS	SK2	0-30	4	215.5
2015-12-05	Hold-NEMHS	MP1	180-365	57	4373
2016-01-13	Hold-NEMHS	MP1	90-180	20	1612
2015-12-29	Rebill	PVT	180-365	2	110
2015-12-12	Hold-NEMHS	PR1	180-365	5	365
2015-11-27	Hold-NEMHS	MID	0-30	1	62
2015-11-24	Hold-NEMHS	PE1	180-365	2	210
2015-12-15	Hold-NEMHS	MRC	90-180	4	329.85
2015-12-24	Hold-NEMHS	MRC	90-180	4	329.85
2015-12-28	Hold-NEMHS	SK2	180-365	2	266
2015-12-10	Hold-NEMHS	PVT	365+	23	3187.6
2015-12-07	F	LOG	90-180	7	499.84
2015-12-08	Write off	SR3	90-180	4	260
2016-01-09	Write off	VA1	365+	1	15.55
2016-01-06	Hold-NEMHS	VA1	90-180	10	529.08
2015-12-07	Write off	VA1	365+	1	15.55
2015-12-05	Hold-NEMHS	CDR	60-90	426	11632
2015-12-06	Write off	MRC	365+	2	20
2015-12-11	Hold-NEMHS	CDR	60-90	505	14091.75
2015-12-27	Manual Tracking	LOG	30-60	66	1513.39
2016-01-09	Hold-NEMHS	LOG	365+	9	148.77
2016-01-02	Write off	SR3	180-365	14	902
2015-12-27	Hold-NEMHS	SG2	60-90	2	234
2015-12-28	Hold-NEMHS	PVT	30-60	219	14065.6
2015-11-24	Billed	LOG	180-365	268	5222.74
2015-12-20	Hold-NEMHS	PVT	30-60	233	15310.9
2016-01-05	Manual Tracking	LOG	90-180	130	1990.73
2015-12-24	Write off	SE2	365+	2	98
2016-01-03	Hold-NEMHS	SR3	60-90	27	1691
2016-01-05	Hold-NEMHS	BR7	365+	2	114
2016-01-16	Hold-NEMHS	TL1	60-90	5	366.68
2015-12-03	Hold-NEMHS	CDR	60-90	399	10767.25
2015-11-27	Hold-NEMHS	BR3	0-30	2	122
2015-11-27	Hold-NEMHS	CDR	60-90	288	7369.75
2015-11-28	Hold-NEMHS	LOG	365+	5	43.25
2016-01-03	Billed	MP1	60-90	31	1623
2016-01-10	Hold-NEMHS	TL1	60-90	5	366.68
2016-01-17	Write off	BR7	180-365	6	196.1
2015-11-30	Hold-NEMHS	MP1	0-30	59	3816.5
2016-01-07	Hold-NEMHS	MP1	90-180	19	1587
2015-12-14	Manual Tracking	MP1	180-365	6	358
2015-12-15	Hold-NEMHS	LOG	90-180	663	14318.68
2016-01-13	Hold-NEMHS	SE2	60-90	2	90
2015-12-18	Hold-NEMHS	PR1	180-365	5	365
2015-11-27	Hold-NEMHS	LOG	60-90	156	3674.82
2016-01-05	Rebill	LOG	365+	9	214.53
2016-01-13	Hold-NEMHS	SR3	365+	1	49
2015-12-24	Hold-NEMHS	SR3	90-180	6	342
2016-01-12	Write off	MR4	0-30	2	418
2015-12-03	Hold-NEMHS	FE4	180-365	8	688
2015-12-26	Hold-NEMHS	FA1	180-365	1	61
2016-01-03	Hold-NEMHS	SK2	180-365	2	266
2015-12-16	Hold-NEMHS	MID	0-30	3	61.2
2015-12-25	Write off	PVT	0-30	18	1562.9
2015-12-22	Manual Tracking	MP1	30-60	1	73
2015-12-05	Write off	SE2	365+	2	98
2015-12-05	Hold-NEMHS	PB1	90-180	7	507
2015-12-25	Write off	LOG	30-60	2	36.5
2015-12-28	Write off	TL1	365+	1	15.55
2016-01-11	Hold-NEMHS	BR3	60-90	6	598
2015-12-08	Hold-NEMHS	PE1	180-365	2	210
2016-01-14	Manual Tracking	MP1	365+	6	382
2015-11-24	Hold-NEMHS	KE3	365+	7	783
2015-11-29	Hold-NEMHS	MID	180-365	4	87.67
2016-01-06	Billed	LOG	60-90	71	2215.37
2015-12-28	Hold-NEMHS	MRC	60-90	10	774.55
2015-12-22	Hold-NEMHS	MRC	60-90	4	440
2015-11-30	Hold-NEMHS	KE3	365+	7	783
2015-11-30	Billed	LOG	90-180	1609	32968.43
2016-01-07	Hold-NEMHS	PB1	0-30	14	550.5
2015-12-29	Hold-NEMHS	SE2	30-60	49	2455
2015-12-21	Hold-NEMHS	WS3	90-180	1	353
2015-12-09	Hold-NEMHS	SR1	30-60	1	41
2015-12-22	Hold-NEMHS	BR3	180-365	11	839.9
2016-01-06	Manual Tracking	MP1	60-90	1	73
2015-12-31	Hold-NEMHS	HE6	0-30	4	479
2016-01-10	Manual Tracking	MP1	180-365	20	1148
2015-12-17	Hold-NEMHS	SK2	0-30	4	204
2016-01-11	Rebill	LOG	365+	9	214.53
2016-01-11	Hold-NEMHS	SS1	365+	2	130
2015-12-30	Hold-NEMHS	SR3	0-30	38	2675.75
2015-12-05	Hold-NEMHS	SK2	0-30	4	204
2016-01-01	Hold-NEMHS	FA1	180-365	1	61
2015-12-18	Hold-NEMHS	SR1	90-180	14	678
2015-12-22	Hold-NEMHS	SS1	0-30	4	170
2015-12-20	Hold-NEMHS	PR1	365+	1	61
2016-01-05	Hold-NEMHS	CDS	30-60	155	3517.05
2015-12-13	Write off	PVT	90-180	7	710.55
2015-12-30	Billed	MP1	0-30	2	138
2015-12-01	Write off	TL1	365+	1	15.55
2015-12-06	Hold-NEMHS	ML7	180-365	1	173
2016-01-14	Hold-NEMHS	TL1	180-365	10	1376.08
2015-12-24	Hold-NEMHS	CDS	30-60	160	3560.8
2016-01-02	Hold-NEMHS	CDS	90-180	98	2215.45
2015-12-25	Manual Tracking	MP1	90-180	5	317
2015-12-29	Hold-NEMHS	LR5	180-365	1	41
2016-01-03	Hold-NEMHS	TL1	0-30	8	0
2016-01-14	Hold-NEMHS	CDR	0-30	694	20105.75
2015-11-25	Hold-NEMHS	RR6	180-365	1	85
2015-11-26	Hold-NEMHS	FE4	365+	2	186
2016-01-04	Hold-NEMHS	CR5	365+	2	102
2016-01-06	Rebill	LOG	180-365	27	640.46
2016-01-11	Hold-NEMHS	SG2	90-180	18	1542
2015-12-06	Hold-NEMHS	CDR	90-180	217	3771.5
2016-01-09	Hold-NEMHS	HL1	0-30	17	1645
2015-12-29	Hold-NEMHS	CR5	365+	2	102
2015-11-25	Hold-NEMHS	SS1	90-180	6	414
2015-12-01	Hold-NEMHS	SS1	90-180	6	414
2015-12-03	Hold-NEMHS	SR3	90-180	5	309
2015-11-27	Hold-NEMHS	SR3	90-180	3	195
2015-12-16	Hold-NEMHS	PVT	0-30	323	22223.66
2015-12-10	Hold-NEMHS	PVT	0-30	293	19814.5
2016-01-04	Write off	MID	90-180	30	1347.72
2016-01-16	Billed	LOG	365+	27	120.5
2015-12-28	Hold-NEMHS	CDR	180-365	3	142.5
2015-12-22	Hold-NEMHS	CDR	180-365	3	142.5
2015-11-28	Hold-NEMHS	HE6	90-180	2	210
2016-01-14	Hold-NEMHS	ML6	180-365	1	109
2015-12-16	Manual Tracking	PVT	90-180	9	431.25
2015-12-19	Manual Tracking	PVT	30-60	1	45
2016-01-07	Hold-NEMHS	SE2	0-30	10	624
2015-12-13	Manual Tracking	PVT	30-60	1	0
2015-12-18	Hold-NEMHS	MR4	60-90	2	90
2016-01-04	Hold-NEMHS	TL1	0-30	8	0
2015-12-01	Hold-NEMHS	VA1	180-365	21	2224.11
2015-12-28	Hold-NEMHS	BR3	180-365	11	839.9
2015-12-02	Hold-NEMHS	CDR	0-30	769	23547.25
2015-12-09	Hold-NEMHS	VA1	180-365	24	2859.11
2016-01-07	Hold-NEMHS	MR4	180-365	13	833
2015-12-13	Manual Tracking	LOG	60-90	210	3851.11
2015-12-18	Hold-NEMHS	SK2	0-30	4	204
2016-01-10	Hold-NEMHS	SR1	90-180	6	342
2015-11-24	Write off	SR3	90-180	12	772
2015-12-21	F	LOG	90-180	4	309.4
2015-12-09	Hold-NEMHS	MRC	90-180	4	329.85
2015-12-30	Hold-NEMHS	BR7	0-30	4	198.5
2015-12-30	Hold-NEMHS	MR4	180-365	13	833
2016-01-02	Hold-NEMHS	SR1	90-180	6	342
2015-12-11	Hold-NEMHS	MID	0-30	1	0
2015-12-13	Write off	PVT	60-90	1	97
2015-12-12	Hold-NEMHS	SR1	90-180	10	514
2015-11-25	Hold-NEMHS	SR1	30-60	28	1180
2015-12-20	Write off	MRC	365+	2	20
2016-01-07	Hold-NEMHS	BR7	0-30	4	198.5
2015-12-13	Manual Tracking	KE3	30-60	1	69
2016-01-12	Hold-NEMHS	TL1	0-30	7	930.44
2015-12-25	Hold-NEMHS	SR3	90-180	6	342
2016-01-03	Write off	VA1	365+	1	15.55
2015-12-24	Hold-NEMHS	BR3	30-60	6	510
2016-01-14	Hold-NEMHS	MRC	180-365	24	1569.7
2015-11-23	Hold-NEMHS	PVT	180-365	892	67244.23
2015-12-16	Hold-NEMHS	BR3	30-60	4	388
2016-01-08	Write off	PVT	365+	93	4722.95
2015-12-08	Manual Tracking	PVT	0-30	1	0
2016-01-01	Hold-NEMHS	LOG	60-90	33	967.43
2015-12-12	Hold-NEMHS	WC1	30-60	4	277
2015-12-17	Manual Tracking	MP1	365+	4	284
2015-12-08	Hold-NEMHS	MP1	60-90	5	393
2015-12-06	Billed	LOG	90-180	1611	32952.59
2016-01-17	Billed	LOG	365+	27	120.5
2015-12-15	Hold-NEMHS	ER2	180-365	2	226
2015-12-22	Hold-NEMHS	VA1	90-180	6	361.08
2015-12-23	Hold-NEMHS	PVT	365+	35	4232.4
2016-01-11	Hold-NEMHS	SE2	30-60	24	1253
2015-12-15	Hold-NEMHS	PB1	60-90	20	1588
2015-12-01	Hold-NEMHS	SE2	0-30	49	2545.25
2016-01-13	Write off	MR4	0-30	2	418
2016-01-14	Rebill	PVT	365+	1	65
2016-01-06	Hold-NEMHS	WC1	90-180	20	1331.2
2015-12-15	Hold-NEMHS	PVT	365+	30	3758.6
2015-12-15	Hold-NEMHS	WS3	30-60	1	57
2015-12-23	Hold-NEMHS	ER2	180-365	2	226
2015-12-23	Hold-NEMHS	SY4	0-30	4	220
2016-01-10	Hold-NEMHS	WC1	60-90	4	268
2015-12-08	Write off	LOG	180-365	256	5105.42
2016-01-12	Hold-NEMHS	VA1	90-180	9	488.08
2015-12-16	Hold-NEMHS	MP1	180-365	75	5359
2015-12-21	Hold-NEMHS	SG2	60-90	4	468
2016-01-06	Hold-NEMHS	KE3	30-60	2	170
2015-12-27	Hold-NEMHS	PR1	180-365	5	365
2015-12-19	Hold-NEMHS	PR1	180-365	5	365
2015-12-21	Manual Tracking	LOG	0-30	49	1033.42
2015-12-05	Hold-NEMHS	LOG	60-90	146	2936.6
2016-01-06	Hold-NEMHS	MRC	60-90	12	871.4
2015-12-13	Hold-NEMHS	SG2	60-90	14	1124
2015-12-11	Hold-NEMHS	LOG	60-90	119	2164.05
2015-12-24	Hold-NEMHS	MP1	180-365	63	4675
2015-12-27	Write off	FAC	365+	14	738
2015-12-27	Billed	WC1	30-60	1	57
2015-12-18	Write off	SE2	365+	2	98
2015-12-30	Manual Tracking	LOG	90-180	129	2123.55
2016-01-03	Hold-NEMHS	SE2	30-60	24	1173
2015-12-10	Write off	SE2	365+	2	98
2016-01-04	Hold-NEMHS	VA1	90-180	10	529.08
2016-01-11	Write off	BR7	180-365	6	196.1
2015-12-20	Hold-NEMHS	SR3	60-90	28	1804
2016-01-17	Hold-NEMHS	MRC	0-30	4	276
2015-12-29	Hold-NEMHS	MRC	60-90	10	774.55
2015-12-28	Billed	MP1	60-90	21	1077
2016-01-15	Hold-NEMHS	FAC	0-30	1	141
2015-12-10	Hold-NEMHS	CDS	30-60	144	3116.25
2016-01-05	Hold-NEMHS	SE2	60-90	6	302
2016-01-12	Write off	TL1	365+	1	15.55
2016-01-03	Hold-NEMHS	PR1	365+	1	61
